Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,34082,-,-,-,14.25,77.35,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Speed,
2010,1,24,8,0,120,558,326,120,558,326,15,21.099783324573195,942.0891723632812,69.24955370655792,68.44203014650962,2.172663927078247,N/A
2010,1,24,9,0,155,707,550,155,707,550,15,24.205218968443717,942.3814697265625,56.714890311439405,56.04006932954012,1.7577683925628662,N/A
2010,1,24,10,0,176,786,731,176,786,731,15,26.04668015008434,942.1516723632812,52.072606159351324,45.071541164658996,1.297616720199585,N/A
2010,1,24,11,0,187,826,848,187,826,848,15,27.09992640983961,941.2978515625,49.366831010168276,36.84953057184557,1.0733834505081177,N/A
2010,1,24,12,0,191,838,890,191,838,890,15,27.552247052234236,940.1708984375,47.7848388535848,33.46995342495595,1.0173853635787964,N/A
2010,1,24,13,0,188,827,854,188,827,854,15,27.472119180395282,939.5594482421875,47.17468572262612,36.313325912520725,1.0625107288360596,N/A
2010,1,24,14,0,177,789,743,177,789,743,14,26.833553898245782,938.991455078125,47.64963557022131,44.19360028069549,1.1202036142349243,N/A
2010,1,24,15,0,157,714,567,157,714,567,14,25.635621899899093,938.611083984375,49.43285138454069,54.983347331440804,1.2130706310272217,N/A
2010,1,24,16,0,124,573,345,124,573,345,14,23.892635929495782,938.56201171875,56.18434662041628,67.29292647909236,1.424271821975708,N/A
2010,1,24,17,0,77,108,95,65,291,114,14,21.696511382331266,938.9274291992188,64.61099229103169,80.42134805014454,1.836747407913208,N/A
